gene,stage_plot,average_expression,percent_expressing,term_group,go_id,also_in_other_term
Isl1,Ccl21a-high,0.40273623170054,48.4210526315789,Estrogen_receptor_signaling,GO:0030520,FALSE
Isl1,TAC-TEC,0.191064256694831,36.8421052631579,Estrogen_receptor_signaling,GO:0030520,FALSE
Isl1,Aire-positive,0.14474324878392,21.8712029161604,Estrogen_receptor_signaling,GO:0030520,FALSE
Isl1,Late-Aire,0.100860611924634,13.2216014897579,Estrogen_receptor_signaling,GO:0030520,FALSE
Isl1,Tuft,0.0220471357079749,2.66666666666667,Estrogen_receptor_signaling,GO:0030520,FALSE
Kank2,cTEC,0.129307126462783,15.1260504201681,Estrogen_receptor_signaling,GO:0030520,FALSE
Kank2,Ccl21a-high,0.0637842636554047,10.1754385964912,Estrogen_receptor_signaling,GO:0030520,FALSE
Kank2,TAC-TEC,0.0199493255807014,5.50239234449761,Estrogen_receptor_signaling,GO:0030520,FALSE
Kank2,Aire-positive,0.0243875775647201,4.73876063183475,Estrogen_receptor_signaling,GO:0030520,FALSE
Kank2,Late-Aire,0.0456619500265099,6.8901303538175,Estrogen_receptor_signaling,GO:0030520,FALSE
Kank2,Tuft,0.00877093152937343,1.33333333333333,Estrogen_receptor_signaling,GO:0030520,FALSE
Kdm1a,cTEC,0.168121948560637,19.7478991596639,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm1a,Ccl21a-high,0.309860567080254,41.4035087719298,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm1a,TAC-TEC,0.228065488573256,45.2153110047847,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm1a,Aire-positive,0.193929487742557,33.5358444714459,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm1a,Late-Aire,0.200223580109228,28.8640595903166,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm1a,Tuft,0.40943291263232,48,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm3a,cTEC,0.0659851746985241,7.56302521008403,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm3a,Ccl21a-high,0.0593442557420967,10.8771929824561,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm3a,TAC-TEC,0.0641442826558168,15.5502392344498,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm3a,Aire-positive,0.0500018359619332,8.74848116646416,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm3a,Late-Aire,0.100480562745637,15.4562383612663,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm3a,Tuft,0.0741507909386813,10.6666666666667,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm4c,cTEC,0.0631044004701517,7.56302521008403,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm4c,Ccl21a-high,0.0342938012453166,6.66666666666667,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm4c,TAC-TEC,0.0517167575208277,11.9617224880383,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm4c,Aire-positive,0.0636727145452947,11.6646415552855,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm4c,Late-Aire,0.0503943594274895,8.56610800744879,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm4c,Tuft,0.0811705118269361,12,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm5d,cTEC,0,0,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm5d,Ccl21a-high,0,0,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm5d,TAC-TEC,0,0,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm5d,Aire-positive,0.00150784868662187,0.364520048602673,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm5d,Late-Aire,0.00141936873284299,0.186219739292365,Androgen_receptor_signaling,GO:0030521,FALSE
Kdm5d,Tuft,0,0,Androgen_receptor_signaling,GO:0030521,FALSE
Kmt2d,cTEC,0.170046089834346,18.9075630252101,Estrogen_receptor_signaling,GO:0030520,FALSE
Kmt2d,Ccl21a-high,0.155505938055905,23.1578947368421,Estrogen_receptor_signaling,GO:0030520,FALSE
Kmt2d,TAC-TEC,0.11850073821685,23.444976076555,Estrogen_receptor_signaling,GO:0030520,FALSE
Kmt2d,Aire-positive,0.101959409363115,17.1324422843256,Estrogen_receptor_signaling,GO:0030520,FALSE
Kmt2d,Late-Aire,0.161921526227732,21.9739292364991,Estrogen_receptor_signaling,GO:0030520,FALSE
Kmt2d,Tuft,0.211120794595221,29.3333333333333,Estrogen_receptor_signaling,GO:0030520,FALSE
Lats1,cTEC,0.112386001275714,14.2857142857143,Estrogen_receptor_signaling,GO:0030520,FALSE
Lats1,Ccl21a-high,0.102517676261763,16.8421052631579,Estrogen_receptor_signaling,GO:0030520,FALSE
Lats1,TAC-TEC,0.0800447663782252,18.4210526315789,Estrogen_receptor_signaling,GO:0030520,FALSE
Lats1,Aire-positive,0.100494048575715,17.861482381531,Estrogen_receptor_signaling,GO:0030520,FALSE
Lats1,Late-Aire,0.112157756331046,17.3184357541899,Estrogen_receptor_signaling,GO:0030520,FALSE
Lats1,Tuft,0.212117108612934,26.6666666666667,Estrogen_receptor_signaling,GO:0030520,FALSE
Lbh,cTEC,0.174592726827817,21.0084033613445,Estrogen_receptor_signaling,GO:0030520,FALSE
